logFC	AveExpr	t	P.Value	adj.P.Val	B
MCEMP1	4.3861851339445	9.32929660725922	20.0185931199891	2.73948067199018e-19	6.07890761114621e-15	33.3400853189186
PLBD1	1.8471656333287	11.1695254180401	16.1196642583331	1.27285382325195e-16	1.41223131689804e-12	27.6582032937857
S100A12	3.19361588266667	11.8334328068333	15.3516974085459	4.90910913582884e-16	3.6311043908014e-12	26.3822935975932
HP	4.52313739834854	7.15465899431526	14.7084759053372	1.58409904398254e-15	8.78778944649312e-12	25.2683230938743
HPR///HP	4.96137277340248	7.47108512487983	14.4749466549911	2.44734621390423e-15	9.33990342721796e-12	24.8532292985643
RETN	4.72362158960846	7.30692456440653	14.4581929109149	2.52543580726939e-15	9.33990342721796e-12	24.8232267371214
NOV	-1.23273293635648	5.29894171294268	-14.3420875994421	3.1419295524173e-15	9.95991668116283e-12	24.6144774087845
CNIH4	1.43749419453976	7.16724989209109	13.7282749518562	1.0194908208574e-14	2.82781266435322e-11	23.4863803550991
CLEC4D	3.74642525552117	6.9487808982478	13.6134086368548	1.27613446763388e-14	3.14638042631065e-11	23.270599787947
ID3	-1.50387006389087	5.79812448751587	-13.5355123020072	1.48718185798738e-14	3.300056542874e-11	23.1234139024235
ANXA3	3.90026779097024	8.72129917070503	13.4718124859051	1.68625509810378e-14	3.40163642062935e-11	23.0025358776693
HK3	2.26129256699278	9.27058004844925	13.1278981137575	3.3474762210329e-14	6.19004144539334e-11	22.3417955717321
CD177	5.63193678485083	7.36559213871056	13.0267327253889	4.10551237185975e-14	7.0077938101206e-11	22.1447933309569
GPR84	3.88780006030324	6.28381414727403	12.8254672725426	6.18269796094478e-14	9.71790038561389e-11	21.749241539966
SNX3	1.49476655105556	10.3752960465185	12.7958511679742	6.5691079668413e-14	9.71790038561389e-11	21.6906263747936
RAB13	2.01147752739856	6.24839319312227	12.6954693595749	8.07345619946186e-14	1.0497510887792e-10	21.4911660625996
CR1	1.6286747228756	6.67451347505119	12.6750624711854	8.42024398557514e-14	1.0497510887792e-10	21.450467872237
CYSTM1	2.63379143642593	10.408658260142	12.5877791443115	1.00850114766402e-13	1.11893202333324e-10	21.2758234086346
IRAK3	2.76022958832936	6.66841706349471	12.4805850901011	1.26011880341309e-13	1.3315255356065e-10	21.0600647606669
UPP1	1.94252196412414	8.32923371858391	12.3470037575619	1.66629727523849e-13	1.55052836232927e-10	20.7892131761197
TLR5	2.31962221680952	7.96668456095238	12.3340603476046	1.7122095695554e-13	1.55052836232927e-10	20.7628514742462
STOM	1.91414541043585	6.94142896901102	12.3245207359405	1.74687737982117e-13	1.55052836232927e-10	20.7434089259242
CD7	-1.94844850323677	7.00272504373854	-12.2572171949031	2.01284461050952e-13	1.70439728228599e-10	20.6059166055219
ABLIM1	-1.57714514549579	7.24329729301307	-12.243069038693	2.07384978015871e-13	1.70439728228599e-10	20.5769419087704
CST7	2.11824014407871	11.1942288908735	12.1723228481453	2.40861967023576e-13	1.90883108866184e-10	20.431681620181
PFKFB3	2.97791549706746	8.2284684832328	12.1175834427197	2.70537522977097e-13	2.03425013416227e-10	20.3188564677211
LDHB	-2.12022312826587	10.7385840322169	-12.1098501778503	2.75022550810582e-13	2.03425013416227e-10	20.3028867943233
NMT2	-1.67602759899278	5.08064516862145	-12.0673526827379	3.01067578626158e-13	2.10173200148221e-10	20.2149922481044
YOD1	2.44217164879253	5.67154013511979	12.0642138038976	3.03088887099733e-13	2.10173200148221e-10	20.2084912881192
SPOCK2	-1.23481763316871	7.28862945937438	-11.9704653625379	3.70335015180465e-13	2.46290866025265e-10	20.0137532401716
FCMR	-2.58307496984187	9.14513914958049	-11.9616833193432	3.77372214730014e-13	2.46290866025265e-10	19.995453723228
METTL7B	3.31264016136463	5.67131695087199	11.9347569503394	3.99815912341035e-13	2.53483288424216e-10	19.9392849724698
EIF3D	-1.18067492401389	9.6388433977037	-11.7028683539698	6.59900886402243e-13	3.95762180250426e-10	19.451726902908
TESPA1	-1.29414163170442	6.9640893830212	-11.658206293394	7.27297518674345e-13	4.13813639471378e-10	19.3570286590684
SRPK1	1.11170943495834	7.82808946806746	11.6365984640357	7.62398856883923e-13	4.22940765856356e-10	19.3111204099966
NELL2	-2.47217649138095	7.73278364232937	-11.5469287868968	9.27665568783749e-13	4.79817639987046e-10	19.119960410501
KIF1B	1.54935137028175	6.00385206365344	11.5366502044156	9.48823975884557e-13	4.79817639987046e-10	19.0979815460452
GYG1	2.8273889901045	9.52190847235626	11.5354060153332	9.51418483976116e-13	4.79817639987046e-10	19.0953201428311
TCF7	-1.51990426178571	8.18889953357936	-11.5038679163941	1.01967129840258e-12	4.95209293667183e-10	19.0277907206422
MS4A6A	1.02356488565873	8.32463430490608	11.4887202012522	1.05421776031462e-12	4.97725363859178e-10	18.995310318537
ST3GAL4-AS1	1.88710119663757	6.52480520674162	11.4707846892843	1.09667814366459e-12	4.98144669166859e-10	18.956813480851
METTL9	1.63667078912566	7.98470689375353	11.4659071888003	1.10852551837238e-12	4.98144669166859e-10	18.9463371335308
SGK223	-2.19183195969577	7.92626433845459	-11.451258383799	1.14490212381748e-12	4.98144669166859e-10	18.9148543844753
CCR7	-2.51523941701302	8.41783245284486	-11.4306787806623	1.19808454909683e-12	5.11259541239591e-10	18.8705779501653
PVRIG	-2.34338581364683	8.45081340670106	-11.3500861534238	1.43194416250174e-12	5.97959736094647e-10	18.6966510280222
S100A9	1.01283392451852	13.7833851247654	11.3428370323802	1.45515212929747e-12	5.97959736094647e-10	18.6809649097827
UBE2F	1.25726978055952	7.50063451633333	11.3286413526098	1.50172252699786e-12	6.05876779528773e-10	18.6502273634101
CPEB4	1.32282138114815	7.8410580946552	11.2760042553442	1.68815809152551e-12	6.59145185094138e-10	18.5360220273347
SERPINB1	1.75247153239551	9.07911177256966	11.2715833602316	1.70485876150125e-12	6.59145185094138e-10	18.5264135033106
FLT3LG	-1.58796050311508	6.96249412044974	-11.2668657652873	1.72286709037675e-12	6.59145185094138e-10	18.5161572778173
UBASH3A	-2.16286905150132	6.99993841599559	-11.2358063832747	1.84639857233574e-12	6.87242652847742e-10	18.4485596844151
GADD45A	2.97296017915626	7.2366118914117	11.2329393980896	1.85824962464464e-12	6.87242652847742e-10	18.4423135575465
MS4A4A	3.38051765476984	6.23516669271693	11.1907156087706	2.04210032001268e-12	7.42855837722644e-10	18.3501972396024
WDR54	-1.30987343085516	7.22961232905159	-11.1824620532436	2.0801626837447e-12	7.44496934714434e-10	18.3321635324822
ANO10	1.19692839181527	6.47118682340337	11.1013245737446	2.49537509881314e-12	8.51882668348671e-10	18.1544001653435
BACH2	-1.4957179300377	6.13748909242196	-11.0457392597591	2.82805524264664e-12	9.50826452035285e-10	18.032113644242
SEPT9	-1.13277796119913	7.47567288367244	-11.0216024359974	2.98635317609599e-12	9.89062342948808e-10	17.9788849248126
ARHGEF18	-1.38600556679166	9.69773277575	-11.0150230659378	3.03105765266373e-12	9.89105431067768e-10	17.9643620164901
AKR1B1	-1.57749784587698	8.70927766637037	-10.9886847435578	3.21699388392869e-12	1.03456658383156e-09	17.9061664863465
