id	nsnp	method	b	se	or	or_lci95	or_uci95	pvalue
AACS	8	Inverse variance weighted	0.094232114	0.043233021	1.098814767	1.009540617	1.195983472	0.029284685
AANAT	3	Inverse variance weighted	0.146281691	0.057120135	1.157522205	1.03492217	1.294645815	0.010438701
AASS	16	Inverse variance weighted	0.087905471	0.031040893	1.091884902	1.027434913	1.160377776	0.004626875
AATK	36	Inverse variance weighted	0.031406738	0.013676513	1.031905133	1.004611371	1.059940425	0.021653052
ABCA1	20	Inverse variance weighted	0.093708056	0.033779545	1.098239075	1.027881768	1.173412258	0.005535354
ABCC2	10	Inverse variance weighted	0.103848231	0.0466099	1.109432065	1.012571189	1.215558491	0.025878548
ABCC5	73	Inverse variance weighted	0.024430398	0.010756697	1.024731266	1.003352881	1.046565158	0.02313606
ABCC6	9	Inverse variance weighted	0.100766647	0.04402714	1.106018519	1.0145787	1.205699434	0.022094502
ABCD2	9	Inverse variance weighted	-0.176339999	0.04655667	0.838332903	0.765220637	0.918430609	0.000152084
ABCF2	12	Inverse variance weighted	0.087452606	0.033859581	1.091390538	1.021311746	1.166277889	0.009800145
ABHD16B	2	Inverse variance weighted	-0.139452884	0.066829094	0.869834005	0.763045277	0.991567892	0.036914432
ABHD5	10	Inverse variance weighted	0.122345738	0.057564443	1.130144768	1.009564884	1.265126409	0.033555754
ABHD8	10	Inverse variance weighted	0.105349702	0.050726492	1.111099096	1.00594337	1.227247217	0.03781834
ABLIM1	6	Inverse variance weighted	0.18856157	0.076425736	1.207511427	1.039528379	1.40263977	0.013615439
ABO	36	Inverse variance weighted	-0.025326681	0.009161909	0.974991349	0.95763936	0.992657749	0.005703715
ABP1	60	Inverse variance weighted	0.067477607	0.01239587	1.069806303	1.044127598	1.096116537	5.22274E-08
AC004696.2	8	Inverse variance weighted	0.060965594	0.024712096	1.062862345	1.012608714	1.115609957	0.013623721
AC004791.2	47	Inverse variance weighted	0.023296583	0.009784309	1.023570068	1.004127833	1.043388751	0.017265029
AC005077.14	37	Inverse variance weighted	-0.026347051	0.006475758	0.973997004	0.961712684	0.986438236	4.73034E-05
AC005154.8	22	Inverse variance weighted	0.019812271	0.007908429	1.020009837	1.004321058	1.035943694	0.012237895
AC005224.2	7	Inverse variance weighted	-0.071259423	0.030069378	0.931220281	0.877923865	0.98775218	0.01779609
AC005682.5	17	Inverse variance weighted	0.053502797	0.012234117	1.054959942	1.029964081	1.08056242	1.22413E-05
AC005682.6	15	Inverse variance weighted	0.053468064	0.013247318	1.054923301	1.027885029	1.082672809	5.43372E-05
AC006369.2	27	Inverse variance weighted	0.01989978	0.008835014	1.020099101	1.002586493	1.037917609	0.024298466
AC006465.3	10	Inverse variance weighted	0.09670636	0.04813261	1.101536871	1.002369247	1.210515468	0.044519627
AC007401.2	4	Inverse variance weighted	-0.068801544	0.024413686	0.933511923	0.889894495	0.979267223	0.004830053
AC007952.5	13	Inverse variance weighted	-0.026386296	0.010302791	0.97395878	0.954488422	0.99382631	0.010434661
