id	nsnp	method	b	se	or	or_lci95	or_uci95	pvalue
GCST90199634	41	Inverse variance weighted	0.037259264	0.013614758	1.037962092	1.010630445	1.066032901	0.006206222
GCST90199638	41	Inverse variance weighted	0.033490583	0.013074469	1.034057706	1.007895632	1.060898872	0.010421363
GCST90199706	41	Inverse variance weighted	-0.053840759	0.015157551	0.947582988	0.919845499	0.976156888	0.000382206
GCST90199747	41	Inverse variance weighted	0.029127293	0.01426193	1.029555641	1.001174599	1.058741222	0.041120723
GCST90199788	41	Inverse variance weighted	0.032022167	0.01402234	1.032540393	1.004548694	1.061312079	0.022391901
GCST90199958	41	Inverse variance weighted	0.030313772	0.012914466	1.030777913	1.005013946	1.05720235	0.018911415
GCST90199977	41	Inverse variance weighted	0.026967803	0.013471218	1.027334725	1.000564374	1.054821323	0.045297319
GCST90200073	41	Inverse variance weighted	0.038724441	0.013228164	1.039484005	1.012879475	1.066787336	0.003417829
GCST90200076	41	Inverse variance weighted	0.03149905	0.015828234	1.032000395	1.000475825	1.064518292	0.046584917
GCST90200127	41	Inverse variance weighted	0.029739997	0.014559224	1.030186647	1.001204643	1.060007598	0.041083029
GCST90200135	41	Inverse variance weighted	0.033506359	0.014728943	1.03407402	1.004648401	1.064361499	0.022914021
GCST90200137	41	Inverse variance weighted	0.027410844	0.013581861	1.027789977	1.00079071	1.05551763	0.04357095
GCST90200264	41	Inverse variance weighted	0.037445252	0.012759079	1.038155158	1.012515124	1.064444478	0.003337706
GCST90200265	41	Inverse variance weighted	0.033277068	0.012841532	1.033836943	1.008140622	1.060188233	0.009559664
GCST90200269	41	Inverse variance weighted	0.033951725	0.012774375	1.034534664	1.008953798	1.060764103	0.00786527
GCST90200271	41	Inverse variance weighted	0.052583666	0.012905515	1.053990742	1.027664607	1.080991284	4.61111E-05
GCST90200275	41	Inverse variance weighted	0.034346471	0.012747273	1.034943123	1.009405776	1.061126549	0.007051183
GCST90200277	41	Inverse variance weighted	0.044294532	0.013058273	1.045290181	1.018876263	1.072388868	0.000693676
GCST90200628	41	Inverse variance weighted	0.030914599	0.013081987	1.031397418	1.005287836	1.058185125	0.018120703
GCST90200687	41	Inverse variance weighted	0.047434612	0.012697102	1.048577634	1.022804426	1.07500029	0.000187074
GCST90200704	41	Inverse variance weighted	0.05964154	0.012653803	1.061455988	1.035454111	1.088110814	2.43702E-06
GCST90200706	41	Inverse variance weighted	0.040718522	0.012258268	1.041558889	1.016832413	1.066886642	0.000894647
GCST90200908	41	Inverse variance weighted	0.033332272	0.013553059	1.033894017	1.006791234	1.061726405	0.013917289
GCST90201018	41	Inverse variance weighted	0.047181378	0.014044485	1.048312133	1.019848603	1.077570067	0.000781052
