id	nsnp.x	method.x	b.x	se.x	or.x	or_lci95.x	or_uci95.x	pvalue.x	nsnp.y	method.y	b.y	se.y	or.y	or_lci95.y	or_uci95.y	pvalue.y	beta_all	beta1	beta2	beta12	beta_dir	se	Z	P	lci	uci	beta12_p	lci_p	uci_p
GCST90199634	41	Inverse variance weighted	0.037259264	0.013614758	1.037962092	1.010630445	1.066032901	0.006206222	15	Inverse variance weighted	0.034811461	0.016856442	1.035424472	1.001774406	1.070204859	0.038906684	0.027906634	0.037259264	0.034811461	0.0012970494156247	0.0266095845843753	0.000775667427500553	1.67217207999079	0.0944903943585938	-0.000223258742276379	0.00281735757352579	0.0464781748893365	-0.00800020318739906	0.100956552966072
GCST90199638	41	Inverse variance weighted	0.033490583	0.013074469	1.034057706	1.007895632	1.060898872	0.010421363	13	Inverse variance weighted	0.050187774	0.023767929	1.051468516	1.003609131	1.101610185	0.034722884	0.027906634	0.033490583	0.050187774	0.00168081781073224	0.0262258161892678	0.00127068689847581	1.32276315491124	0.185914153730967	-0.00080972851028034	0.00417136413174482	0.0602300446099032	-0.0290156279786498	0.149475717198456
GCST90199706	41	Inverse variance weighted	-0.053840759	0.015157551	0.947582988	0.919845499	0.976156888	0.000382206	22	Inverse variance weighted	-0.026359375	0.012957941	0.973985	0.949559639	0.999038652	0.041928856	0.027906634	-0.053840759	-0.026359375	0.00141920875676563	0.0264874252432344	0.000884689175089445	1.60418912848361	0.108672370344568	-0.000314782026409688	0.00315319953994094	0.0508556050423575	-0.0112798278147658	0.112991037899481
GCST90199747	41	Inverse variance weighted	0.029127293	0.01426193	1.029555641	1.001174599	1.058741222	0.041120723	8	Inverse variance weighted	0.102067438	0.036775966	1.107458154	1.030440669	1.190232101	0.005513652	0.027906634	0.029127293	0.102067438	0.00297294817238533	0.0249336858276147	0.00377654531704274	0.787213689444968	0.431156784872561	-0.00442908064901844	0.0103749769937891	0.106531951233722	-0.15871067248807	0.371774574955514
GCST90199788	41	Inverse variance weighted	0.032022167	0.01402234	1.032540393	1.004548694	1.061312079	0.022391901	24	Inverse variance weighted	-0.056166467	0.012247424	0.945381748	0.922958121	0.968350164	4.51857e-06	0.027906634	0.032022167	-0.056166467	-0.00179857198607399	0.029705205986074	0.000821476100497261	-2.18943921190801	0.0285649322521974	-0.00340866514304862	-0.000188478829099357	-0.0644496210497471	-0.122145334440858	-0.00675390765863619
GCST90199958	41	Inverse variance weighted	0.030313772	0.012914466	1.030777913	1.005013946	1.05720235	0.018911415	3	Inverse variance weighted	-0.211382294	0.107087847	0.809464554	0.656209964	0.998510996	0.048391424	0.027906634	0.030313772	-0.211382294	-0.00640779466515297	0.034314428665153	0.0226398597812409	-0.283031552627476	0.777152649972793	-0.0507819198363851	0.0379663305060792	-0.22961546222855	-1.81970780984855	1.36047688539145
GCST90199977	41	Inverse variance weighted	0.026967803	0.013471218	1.027334725	1.000564374	1.054821323	0.045297319	10	Inverse variance weighted	0.092866425	0.025031974	1.097315151	1.044777304	1.152494926	0.000207331	0.027906634	0.026967803	0.092866425	0.00250440345471428	0.0254022305452857	0.0023528457978616	1.06441461526736	0.287140915786121	-0.00210717430909446	0.00711598121852301	0.0897422259780336	-0.0755080067733879	0.254992458729455
GCST90200073	41	Inverse variance weighted	0.038724441	0.013228164	1.039484005	1.012879475	1.066787336	0.003417829	14	Inverse variance weighted	-0.077151814	0.022978961	0.925749301	0.884979694	0.968397099	0.000786513	0.027906634	0.038724441	-0.077151814	-0.00298766086928597	0.030894294869286	0.00184539052927315	-1.61898569538163	0.105450340936634	-0.00660462630666135	0.000629304568089406	-0.10705916268103	-0.23666868267457	0.0225503573125088
GCST90200076	41	Inverse variance weighted	0.03149905	0.015828234	1.032000395	1.000475825	1.064518292	0.046584917	4	Inverse variance weighted	0.153355603	0.047305958	1.165739446	1.062512009	1.278995855	0.001187849	0.027906634	0.03149905	0.153355603	0.00483055580667715	0.0230760781933229	0.00727174578072283	0.664291072919903	0.506504033526286	-0.00942206592353961	0.0190831775368939	0.173097042326106	-0.337628175563545	0.683822260215758
GCST90200127	41	Inverse variance weighted	0.029739997	0.014559224	1.030186647	1.001204643	1.060007598	0.041083029	3	Inverse variance weighted	0.179340134	0.054664478	1.196427621	1.074867885	1.331734878	0.001035338	0.027906634	0.029739997	0.179340134	0.0053335750471396	0.0225730589528604	0.00981309208196637	0.543516253856536	0.586774402915858	-0.0139000854335145	0.0245672355277937	0.191122119820671	-0.498092512107139	0.88033675174848
GCST90200135	41	Inverse variance weighted	0.033506359	0.014728943	1.03407402	1.004648401	1.064361499	0.022914021	4	Inverse variance weighted	0.140740483	0.056353079	1.151125873	1.03075181	1.285557554	0.01250808	0.027906634	0.033506359	0.140740483	0.0047157011492314	0.0231909328507686	0.00794649905608108	0.593431285393874	0.552892556689776	-0.0108594370006875	0.0202908392991503	0.168981366553609	-0.389134605079477	0.727097338186695
GCST90200137	41	Inverse variance weighted	0.027410844	0.013581861	1.027789977	1.00079071	1.05551763	0.04357095	11	Inverse variance weighted	0.060203859	0.023831685	1.062053034	1.013585207	1.112838504	0.01153003	0.027906634	0.027410844	0.060203859	0.001650238587247	0.026256395412753	0.00148227345429172	1.1133158881507	0.265572785118009	-0.00125501738316477	0.00455549455765876	0.0591342756438127	-0.0449720085612894	0.163240559848915
GCST90200264	41	Inverse variance weighted	0.037445252	0.012759079	1.038155158	1.012515124	1.064444478	0.003337706	12	Inverse variance weighted	0.076399045	0.026170937	1.079393215	1.025421768	1.136205364	0.003508946	0.027906634	0.037445252	0.076399045	0.00286078149258434	0.0250458525074157	0.002055723700262	1.39161770242749	0.164038195342721	-0.00116843695992917	0.00688999994509785	0.102512595843137	-0.0418695052914362	0.24689469697771
GCST90200265	41	Inverse variance weighted	0.033277068	0.012841532	1.033836943	1.008140622	1.060188233	0.009559664	22	Inverse variance weighted	0.061488097	0.014677517	1.063417839	1.033261354	1.094454462	2.79852e-05	0.027906634	0.033277068	0.061488097	0.0020461435850596	0.0258604904149404	0.000998550223496989	2.04911434288589	0.040450935301725	8.89851470054969e-05	0.0040033020231137	0.0733210456359443	0.00318867359658986	0.143453417675299
GCST90200269	41	Inverse variance weighted	0.033951725	0.012774375	1.034534664	1.008953798	1.060764103	0.00786527	12	Inverse variance weighted	0.077503222	0.026629435	1.080585714	1.025632535	1.138483273	0.003609268	0.027906634	0.033951725	0.077503222	0.00263136807995795	0.025275265920042	0.0021089459932751	1.24771714797284	0.212134659234934	-0.00150216606686124	0.00676490222677714	0.0942918475928681	-0.0538282784968348	0.242411973682571
GCST90200271	41	Inverse variance weighted	0.052583666	0.012905515	1.053990742	1.027664607	1.080991284	4.61111e-05	23	Inverse variance weighted	0.053322916	0.013895062	1.054770192	1.026431881	1.083890883	0.000124271	0.027906634	0.052583666	0.053322916	0.00280391440509006	0.0251027195949099	0.00100473594964808	2.79069780082237	0.00525945527650625	0.000834631943779828	0.00477319686640028	0.100474833514141	0.0299080119723442	0.171041655055937
GCST90200275	41	Inverse variance weighted	0.034346471	0.012747273	1.034943123	1.009405776	1.061126549	0.007051183	19	Inverse variance weighted	0.064908144	0.015684488	1.067061004	1.034756929	1.100373581	3.49789e-05	0.027906634	0.034346471	0.064908144	0.00222936568555982	0.0256772683144402	0.00110820465941125	2.01169131227458	0.0442524869892979	5.7284553113776e-05	0.00440144681800587	0.0798865848729669	0.00205272169742062	0.157720448048513
GCST90200277	41	Inverse variance weighted	0.044294532	0.013058273	1.045290181	1.018876263	1.072388868	0.000693676	22	Inverse variance weighted	0.050068061	0.014205327	1.05134265	1.02247445	1.081025905	0.000424126	0.027906634	0.044294532	0.050068061	0.00221774133014245	0.0256888926698575	0.000916739258592947	2.41916260196639	0.0155562846817617	0.000420932383300275	0.00401455027698463	0.0794700403546501	0.0150835956532872	0.143856485056013
GCST90200628	41	Inverse variance weighted	0.030914599	0.013081987	1.031397418	1.005287836	1.058185125	0.018120703	6	Inverse variance weighted	0.072530716	0.034614496	1.075225832	1.004697301	1.150705381	0.036136733	0.027906634	0.030914599	0.072530716	0.00224225800032288	0.0256643759996771	0.00254297908682498	0.881744569564055	0.377914953033802	-0.00274198100985408	0.00722649701049984	0.0803485651591978	-0.0982555262613927	0.258952656579788
GCST90200687	41	Inverse variance weighted	0.047434612	0.012697102	1.048577634	1.022804426	1.07500029	0.000187074	27	Inverse variance weighted	0.041540954	0.011845494	1.042415852	1.018492697	1.066900933	0.000453361	0.027906634	0.047434612	0.041540954	0.00197047903509985	0.0259361549649002	0.000777740119224549	2.53359571712017	0.0112898901923833	0.000446108401419732	0.00349484966877996	0.0706096992958681	0.0159857473824945	0.125233651209242
GCST90200704	41	Inverse variance weighted	0.05964154	0.012653803	1.061455988	1.035454111	1.088110814	2.43702e-06	25	Inverse variance weighted	0.038899211	0.011218822	1.039665692	1.017054109	1.062779985	0.000525682	0.027906634	0.05964154	0.038899211	0.00232000884882494	0.0255866251511751	0.000871784563783987	2.66121808667376	0.00778585094994333	0.000611311103808325	0.00402870659384156	0.0831346714485502	0.0219055835902074	0.144363759306893
