id	nsnp	method	b	se	or	or_lci95	or_uci95	pvalue
GCST90199634	15	Inverse variance weighted	0.034811461	0.016856442	1.035424472	1.001774406	1.070204859	0.038906684
GCST90199638	13	Inverse variance weighted	0.050187774	0.023767929	1.051468516	1.003609131	1.101610185	0.034722884
GCST90199706	22	Inverse variance weighted	-0.026359375	0.012957941	0.973985	0.949559639	0.999038652	0.041928856
GCST90199747	8	Inverse variance weighted	0.102067438	0.036775966	1.107458154	1.030440669	1.190232101	0.005513652
GCST90199770	9	Inverse variance weighted	-0.08800468	0.027015473	0.915756591	0.868528389	0.965552934	0.001123722
GCST90199788	24	Inverse variance weighted	-0.056166467	0.012247424	0.945381748	0.922958121	0.968350164	4.51857E-06
GCST90199791	21	Inverse variance weighted	-0.061025421	0.019396937	0.940799323	0.905703383	0.977255229	0.001654425
GCST90199826	8	Inverse variance weighted	0.062595647	0.0254379	1.06459628	1.01281883	1.119020703	0.013865703
GCST90199844	29	Inverse variance weighted	0.040030179	0.0143857	1.040842185	1.011904508	1.070607399	0.005391912
GCST90199853	18	Inverse variance weighted	0.079316196	0.02142705	1.082546565	1.038024283	1.128978468	0.000214172
GCST90199854	7	Inverse variance weighted	0.093988022	0.036588408	1.098546588	1.022524677	1.180220519	0.010205359
GCST90199857	4	Inverse variance weighted	0.118864235	0.049454778	1.126217007	1.022175163	1.240848724	0.016239259
GCST90199899	3	Inverse variance weighted	-0.175904764	0.049438207	0.838697854	0.761242244	0.924034493	0.000373585
GCST90199958	3	Inverse variance weighted	-0.211382294	0.107087847	0.809464554	0.656209964	0.998510996	0.048391424
GCST90199977	10	Inverse variance weighted	0.092866425	0.025031974	1.097315151	1.044777304	1.152494926	0.000207331
GCST90200030	5	Inverse variance weighted	0.107459515	0.030657999	1.113445782	1.048509714	1.182403455	0.000456427
GCST90200043	3	Inverse variance weighted	-0.14716932	0.048606537	0.863147817	0.784712294	0.949423322	0.002463671
GCST90200046	5	Inverse variance weighted	-0.097641132	0.034697062	0.90697433	0.847344978	0.970799918	0.004891344
GCST90200052	24	Inverse variance weighted	-0.072219519	0.014110792	0.930326649	0.904949018	0.956415949	3.08736E-07
GCST90200058	10	Inverse variance weighted	-0.074528701	0.026687462	0.928180834	0.880878013	0.978023799	0.005227847
GCST90200062	3	Inverse variance weighted	-0.168605551	0.069693476	0.844842085	0.736972454	0.968500444	0.015552787
GCST90200073	14	Inverse variance weighted	-0.077151814	0.022978961	0.925749301	0.884979694	0.968397099	0.000786513
GCST90200076	4	Inverse variance weighted	0.153355603	0.047305958	1.165739446	1.062512009	1.278995855	0.001187849
GCST90200078	14	Inverse variance weighted	-0.092906263	0.022958321	0.911278916	0.871181822	0.953221523	5.19368E-05
GCST90200083	19	Inverse variance weighted	-0.050499225	0.024823496	0.950754665	0.905603888	0.998156529	0.041918165
GCST90200102	6	Inverse variance weighted	0.102474634	0.032018635	1.107909198	1.040517422	1.179665776	0.001372043
GCST90200103	12	Inverse variance weighted	-0.115966593	0.024847686	0.890504972	0.848175203	0.934947287	3.05483E-06
GCST90200109	12	Inverse variance weighted	-0.102967729	0.032704133	0.902156086	0.846142216	0.961878025	0.001641319
GCST90200127	3	Inverse variance weighted	0.179340134	0.054664478	1.196427621	1.074867885	1.331734878	0.001035338
GCST90200135	4	Inverse variance weighted	0.140740483	0.056353079	1.151125873	1.03075181	1.285557554	0.01250808
GCST90200137	11	Inverse variance weighted	0.060203859	0.023831685	1.062053034	1.013585207	1.112838504	0.01153003
GCST90200201	9	Inverse variance weighted	0.073456267	0.028398763	1.07622147	1.017953961	1.137824201	0.009692777
GCST90200243	7	Inverse variance weighted	0.082088249	0.029004297	1.085551604	1.025561049	1.149051328	0.004651747
GCST90200252	3	Inverse variance weighted	0.12138883	0.043360863	1.129063841	1.037072187	1.229215452	0.005118147
GCST90200264	12	Inverse variance weighted	0.076399045	0.026170937	1.079393215	1.025421768	1.136205364	0.003508946
GCST90200265	22	Inverse variance weighted	0.061488097	0.014677517	1.063417839	1.033261354	1.094454462	2.79852E-05
GCST90200269	12	Inverse variance weighted	0.077503222	0.026629435	1.080585714	1.025632535	1.138483273	0.003609268
GCST90200271	23	Inverse variance weighted	0.053322916	0.013895062	1.054770192	1.026431881	1.083890883	0.000124271
GCST90200275	19	Inverse variance weighted	0.064908144	0.015684488	1.067061004	1.034756929	1.100373581	3.49789E-05
GCST90200277	22	Inverse variance weighted	0.050068061	0.014205327	1.05134265	1.02247445	1.081025905	0.000424126
GCST90200316	15	Inverse variance weighted	-0.060570924	0.02221743	0.941227011	0.901119782	0.98311934	0.006405272
GCST90200330	9	Inverse variance weighted	0.092333058	0.040116617	1.096730036	1.013798825	1.186445222	0.021356823
GCST90200343	4	Inverse variance weighted	-0.151883734	0.053887086	0.859088158	0.772979753	0.954788867	0.00482403
GCST90200358	11	Inverse variance weighted	-0.089227645	0.022792391	0.914637338	0.874676889	0.956423417	9.04793E-05
GCST90200453	4	Inverse variance weighted	-0.120241939	0.061183496	0.886705882	0.78650076	0.999677765	0.049383279
GCST90200474	19	Inverse variance weighted	0.045543653	0.020218046	1.046596691	1.005933819	1.088903277	0.024282872
GCST90200628	6	Inverse variance weighted	0.072530716	0.034614496	1.075225832	1.004697301	1.150705381	0.036136733
GCST90200636	20	Inverse variance weighted	0.071053956	0.0171795	1.073639154	1.038089637	1.110406068	3.53453E-05
GCST90200672	22	Inverse variance weighted	-0.045109646	0.016799426	0.955892666	0.924930646	0.987891139	0.007248865
GCST90200682	28	Inverse variance weighted	-0.027467905	0.012515428	0.972905908	0.949330629	0.997066645	0.028183433
GCST90200684	41	Inverse variance weighted	0.028325614	0.00926839	1.028730599	1.010211354	1.04758934	0.00224197
GCST90200685	32	Inverse variance weighted	-0.051594609	0.010211107	0.949713794	0.930895384	0.968912627	4.35396E-07
GCST90200686	26	Inverse variance weighted	0.048624721	0.01301612	1.049826299	1.023382305	1.076953602	0.000187171
GCST90200687	27	Inverse variance weighted	0.041540954	0.011845494	1.042415852	1.018492697	1.066900933	0.000453361
GCST90200692	26	Inverse variance weighted	-0.056873103	0.011274259	0.944713943	0.924067045	0.965822165	4.54687E-07
GCST90200701	24	Inverse variance weighted	0.054733558	0.013597059	1.056259146	1.028481377	1.084787152	5.68793E-05
GCST90200702	22	Inverse variance weighted	0.052362711	0.013793551	1.053757883	1.025650814	1.082635201	0.000146947
GCST90200703	23	Inverse variance weighted	0.054755053	0.013248583	1.05628185	1.029206205	1.084069782	3.58216E-05
GCST90200704	25	Inverse variance weighted	0.038899211	0.011218822	1.039665692	1.017054109	1.062779985	0.000525682
GCST90200706	25	Inverse variance weighted	0.050199363	0.013586677	1.051480702	1.023849432	1.079857674	0.000220104
GCST90200710	29	Inverse variance weighted	0.030872151	0.013028343	1.031353638	1.005350865	1.058028957	0.017806634
GCST90200740	16	Inverse variance weighted	-0.079986964	0.017264165	0.92312838	0.892414358	0.954899481	3.60194E-06
GCST90200749	6	Inverse variance weighted	-0.120141691	0.032024504	0.886794777	0.832843342	0.944241175	0.000175741
GCST90200794	20	Inverse variance weighted	0.071975574	0.014581689	1.074629094	1.044350815	1.105785215	7.97311E-07
GCST90200795	15	Inverse variance weighted	0.070842096	0.017208357	1.073411716	1.03781103	1.110233634	3.84292E-05
GCST90200902	9	Inverse variance weighted	0.09089781	0.039212923	1.095157085	1.014139511	1.182646992	0.020446198
GCST90200904	8	Inverse variance weighted	0.118082482	0.035024295	1.125336927	1.050677153	1.205301929	0.00074775
GCST90200908	7	Inverse variance weighted	0.107706875	0.04087086	1.113721237	1.027984396	1.206608777	0.008406358
GCST90200959	3	Inverse variance weighted	0.146501754	0.063792412	1.157776961	1.021700735	1.311976634	0.02164509
GCST90200979	14	Inverse variance weighted	-0.078959959	0.018182728	0.924076925	0.891724451	0.957603172	1.40819E-05
GCST90200983	6	Inverse variance weighted	0.12734635	0.04700585	1.135810337	1.035842271	1.245426218	0.006745388
GCST90200986	5	Inverse variance weighted	0.122948445	0.053862466	1.130826119	1.017529888	1.256737249	0.022451773
GCST90200988	4	Inverse variance weighted	0.162232678	0.047589833	1.176133869	1.071389716	1.29111831	0.000652068
