id	nsnp	method	b	se	or	or_lci95	or_uci95	pvalue
ZHX3	33	Inverse variance weighted	-0.138492065	0.040314716	0.87067016	0.804520438	0.942258881	0.000591957
HNF4A	56	Inverse variance weighted	-0.099761827	0.024716318	0.905052951	0.862253635	0.949976679	5.43068E-05
CBFB	6	Inverse variance weighted	-0.287564702	0.131957966	0.750088033	0.579145049	0.971487294	0.029315743
RBBP9	16	Inverse variance weighted	-0.270860972	0.058012339	0.762722529	0.680746591	0.854570062	3.02635E-06
BAG3	17	Inverse variance weighted	-0.164535007	0.06724547	0.848288061	0.743537463	0.967796069	0.014413798
NEFL	206	Inverse variance weighted	0.035279212	0.009276464	1.035908906	1.017244338	1.054915935	0.000142903
STAR	18	Inverse variance weighted	-0.222238506	0.058587701	0.800724364	0.713858582	0.898160396	0.000148681
MCL1	3	Inverse variance weighted	0.141108481	0.070255977	1.151549562	1.003412576	1.321556483	0.044591166
AGA	11	Inverse variance weighted	-0.15750373	0.054827042	0.854273627	0.767233008	0.951188783	0.004069314
CSF2RA	7	Inverse variance weighted	-0.33969743	0.144281905	0.711985716	0.536606642	0.944683907	0.018552595
SHISA2	49	Inverse variance weighted	-0.067557687	0.030169618	0.934673801	0.881006622	0.991610157	0.025138856
CEACAM20	11	Inverse variance weighted	-0.175528619	0.089202787	0.839013385	0.704430163	0.999309083	0.049097023
PGRMC2	7	Inverse variance weighted	-0.254903804	0.094369421	0.774991045	0.644121523	0.932450009	0.006910492
COL6A3	8	Inverse variance weighted	0.11393589	0.057388198	1.120680276	1.001456081	1.254098213	0.047105098
PTGDS	10	Inverse variance weighted	-0.098915379	0.050198911	0.905819356	0.820940009	0.999474624	0.048784687
DHX9	31	Inverse variance weighted	-0.09870697	0.040303427	0.906008156	0.837192132	0.980480762	0.014321518
CST8	88	Inverse variance weighted	-0.03344311	0.016964138	0.967109929	0.935482519	0.999806619	0.048678087
APMAP	13	Inverse variance weighted	-0.128028903	0.054271136	0.879827949	0.791045074	0.978575362	0.018321259
PLOD3	35	Inverse variance weighted	0.076005785	0.032759189	1.078968816	1.011867643	1.150519748	0.020333502
MPZ	100	Inverse variance weighted	0.043716472	0.016400504	1.044686115	1.011638693	1.078813104	0.007686098
PODXL2	2	Inverse variance weighted	0.598340617	0.189846044	1.819097715	1.253879532	2.63910241	0.001623146
MSMB	545	Inverse variance weighted	0.012615578	0.005338653	1.01269549	1.002154135	1.023347727	0.018124543
HTATIP2	135	Inverse variance weighted	-0.036533051	0.011271083	0.964126228	0.943060941	0.985662054	0.001189826
NDUFB4	111	Inverse variance weighted	-0.034893115	0.017615317	0.965708631	0.93293557	0.999632975	0.047609289
GRIA4	76	Inverse variance weighted	-0.155222164	0.022028178	0.856224934	0.820043908	0.894002297	1.83438E-12
TMED2	10	Inverse variance weighted	-0.240862078	0.091427042	0.785950018	0.657008002	0.940197729	0.008426799
GPR64	9	Inverse variance weighted	-0.235117036	0.087727861	0.79047833	0.665601828	0.938783464	0.007360619
